date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:58	25267/25267	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:56%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=596	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipec30c.html	(from http://recept.mohem.se/)
19:45:58	22873/22873	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:56%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=66	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe75d2.html	(from http://recept.mohem.se/)
19:45:59	24770/24770	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:57%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=609	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipeefa7.html	(from http://recept.mohem.se/)
19:46:00	28634/28634	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:57%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=619	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowReciped5f8.html	(from http://recept.mohem.se/)
19:46:01	213/213	---M--	200	added ('OK')	image/png	etag:%220996adda44ccc1:0%22	http://recept.mohem.se/Styles/grd_head.png	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/grd_head.png	(from http://recept.mohem.se/Styles/gvStyle.css)
19:46:01	190/190	---M--	200	added ('OK')	image/png	etag:%220996adda44ccc1:0%22	http://recept.mohem.se/Styles/grd_alt.png	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/grd_alt.png	(from http://recept.mohem.se/Styles/gvStyle.css)
19:46:01	189/189	---M--	200	added ('OK')	image/png	etag:%22802f3dea44ccc1:0%22	http://recept.mohem.se/Styles/grd_pgr.png	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/grd_pgr.png	(from http://recept.mohem.se/Styles/gvStyle.css)
19:46:02	5202/5202	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202017%2018:46:00%20GMT	http://recept.mohem.se/Styles/indicator.gif	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/indicator.37.delayed	(from http://recept.mohem.se/Styles/jquery.autocomplete.css)
19:46:02	5170/5170	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202017%2018:46:01%20GMT	http://recept.mohem.se/POST	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/POST.38.delayed	(from http://recept.mohem.se/WebResource.axd?d=xXX0wyUm9PSJNs-ccTmEYeUfAbn0HgoNdWjUromaxYbIP5ttLqRLcUNYXVPeKhSFPhXgAMHQaYazTbrFTRc5ceK34VE1&t=635398045310332500)
19:46:03	0/-1	---M--	302	error ('')			http://recept.mohem.se/ShowRecipe.aspx?command=new	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe.3a0c1f.delayed	(from http://recept.mohem.se/Account/Login.aspx)
